epoch,lr,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,val_macro_dice_present,val_macro_iou_present,val_macro_recall_present,val_micro_dice,val_n_classes_present,val_dice_crack,val_dice_spalling,val_dice_corrosion,val_dice_moisture,val_dice_delamination,val_dice_surface,seconds
0,2.9999999999999997e-05,0.9939044149212469,1.0632037664534615,0.18781827123654932,0.31624075127422596,0.1935727480580396,0.863349715292352,0.27917973648131705,0.16549087073002758,0.8122656794890744,0.31624075127422596,6.0,0.16337060118781205,0.2926035178445552,0.27551750839867395,0.21587421182999675,0.27592710152293687,0.45178547810392766,857.2
1,0.000165,0.9803594072086826,1.116996025941411,0.21887556113546833,0.35914340743950984,0.23199687701346625,0.7946578303055011,0.31335043120691414,0.18940682580562215,0.6732076162704127,0.35914340743950984,6.0,0.15698353473877508,0.3377476996485571,0.38825212454535696,0.2282479700972874,0.3336743805061691,0.43519687770533905,859.4
2,0.0003,0.9786882915166788,1.1146558757688179,0.19132626550268034,0.3211987698801389,0.20007718499420563,0.813932711715108,0.28786565945696385,0.17053768040319894,0.7226318767845766,0.3211987698801389,6.0,0.1919584005031466,0.301973046565539,0.346110087300518,0.2050883310868945,0.2690307595858858,0.41303333169979917,858.7
3,0.00029278083615353516,0.9608812612944055,1.1198304315082361,0.22218556195025946,0.36358727981651934,0.24146469310094404,0.735645562118772,0.32210196203198216,0.19461396368322018,0.628877679171635,0.36358727981651934,6.0,0.19994788014345466,0.31867756220366783,0.38357232428648375,0.23847506317680894,0.3696673777103464,0.4222715646711313,858.2
4,0.00027183000667030475,0.9455474304396554,1.1086184888101014,0.2269452837243531,0.3699354596082198,0.24710230134902586,0.7355961516023382,0.3436319938450749,0.21141962012501328,0.6624200612247961,0.3699354596082198,6.0,0.18834788195415422,0.3695966379391617,0.4563146767921506,0.2455823669121348,0.373148942759861,0.4288014567129873,875.9
5,0.00023919832471313977,0.9312437722471522,1.0868727828635545,0.2158990546203551,0.3551266098940526,0.22811170650699977,0.8012967226358757,0.3387196697603996,0.2096614330526043,0.7142261008208518,0.3551266098940526,6.0,0.16155187096076898,0.3122270133218134,0.48209963569986375,0.22729109569698835,0.408072860058774,0.44107554282418876,1265.6
6,0.00019808000667030474,0.9185966752206325,1.0601781179181864,0.2238252238646911,0.36577972001243486,0.23673963789264166,0.8040382139259161,0.34519315346104124,0.21243806053010825,0.739131929221675,0.36577972001243486,6.0,0.19547226434395132,0.38113603967388493,0.43198547799108994,0.234006454008403,0.39551873788858777,0.43303994686033015,1261.4
7,0.0001525,0.9061145368547171,1.079233507396745,0.24695169247365048,0.3960886279142989,0.26865347913309634,0.7535182413577073,0.38210502110632444,0.24057667203580313,0.6953244121915194,0.3960886279142989,6.0,0.24101654841258538,0.41939373135451485,0.4582319090890607,0.2498391173169708,0.47660828140703504,0.44754053905778,1261.2
8,0.00010691999332969526,0.888493950399634,1.0367119534582387,0.24538781028228385,0.3940745336613876,0.2616012379871413,0.7983584653987748,0.36353839365871593,0.22504784561650812,0.7362259670570088,0.3940745336613876,6.0,0.25392902442691145,0.3858795061625479,0.4456595860629486,0.26680321371348026,0.36656529346813843,0.462393738118269,1251.1
9,6.580167528686022e-05,0.8774397000616716,1.028031188445013,0.24442276069025387,0.3928291387963331,0.25766185310065043,0.8262985534662239,0.36911491833525795,0.22997029669055433,0.7711334789640539,0.3928291387963331,6.0,0.24200058321927437,0.3802887318198128,0.4569448699392428,0.25617613658782856,0.4115355426086139,0.4677436458367749,1270.2
