epoch,lr,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,seconds
0,0.00027183000667030475,0.9330637529492378,1.9041360020637512,0.03540519032268059,0.06838905320079897,0.03582895957693996,0.7495898142676272,13.4
1,0.00019808000667030474,0.8083105459809303,0.8033144250512123,0.02701407244704061,0.05260701517492328,0.031141074970593603,0.16932467021060965,3.9
2,0.00010691999332969526,0.7494096010923386,0.76192257553339,0.0040888986265348315,0.008144495237678498,0.006505588357043399,0.010887240853765728,3.2
3,3.3169993329695266e-05,0.7250488623976707,0.7316933423280716,0.00011905831611103444,0.000238088285831672,0.00031003761399713947,0.00019324305601124702,3.3
4,0.0003,0.7187686637043953,0.7255942076444626,0.0002656871976059566,0.0005312332533375588,0.000735844672225907,0.00041565487519400305,3.2
5,0.00029278083615353516,0.697727020829916,0.7085816785693169,0.0010420432916969033,0.0020819171356087763,0.0019539932137905376,0.0022277642872239986,3.1
6,0.00027183000667030475,0.6799160577356815,0.6967531219124794,0.0,0.0,0.0,0.0,3.2
7,0.00023919832471313977,0.6640336140990257,0.6802147999405861,0.0,0.0,0.0,0.0,3.2
8,0.00019808000667030474,0.6473863050341606,0.6804581210017204,0.10707249858279119,0.19343358040211292,0.14825205258021903,0.27822624751143843,3.2
9,0.0001525,0.636317640542984,0.670270599424839,0.0,0.0,0.0,0.0,3.1
10,0.00010691999332969526,0.6268270686268806,0.6698513776063919,0.0,0.0,0.0,0.0,3.1
11,6.580167528686022e-05,0.6254102736711502,0.663410596549511,0.0,0.0,0.0,0.0,3.3
12,3.3169993329695266e-05,0.6151289977133274,0.6643736809492111,0.0,0.0,0.0,0.0,3.1
13,1.2219163846464854e-05,0.6164564117789268,0.6603438630700111,0.0,0.0,0.0,0.0,3.2
14,0.0003,0.6136962547898293,0.6568087562918663,0.0,0.0,0.0,0.0,3.2
15,0.0002981840302377828,0.6118441484868526,0.6540570259094238,0.0,0.0,0.0,0.0,3.2
16,0.00029278083615353516,0.5995586514472961,0.6423305794596672,0.0,0.0,0.0,0.0,3.1
