epoch,lr,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,seconds
0,2.9999999999999997e-05,0.7219741716980934,0.6890535801649094,0.08598382111768771,0.15835193756237306,0.1276935806815227,0.2083833593945891,73.0
1,0.000165,0.692521009594202,0.6420080810785294,0.16516954171834747,0.2835116020536578,0.17329544850650125,0.7788810934924892,5.1
2,0.0003,0.6403297744691372,0.6270494535565376,0.18188875705546528,0.3077933620565431,0.18703886338352804,0.86852036445484,5.1
3,0.00029278083615353516,0.5929142199456692,0.6311138048768044,0.15722246973386164,0.2717238454072184,0.1598348795115976,0.905832109884012,5.1
4,0.00027183000667030475,0.5691895000636578,0.615118183195591,0.16598292016791721,0.2847090078197945,0.17010142894386213,0.8726986684837812,5.1
5,0.00023919832471313977,0.5402779430150986,0.512487068772316,0.32567200746880437,0.4913311975118673,0.36104044115992034,0.7687569863979743,5.2
6,0.00019808000667030474,0.5111817996948957,0.4984019249677658,0.3843183496212714,0.555245619226842,0.42930695481191744,0.7857472699302919,5.1
7,0.0001525,0.4963566903024912,0.4813206344842911,0.393421168535305,0.5646837832223401,0.43737726132073595,0.7965274217122778,5.2
8,0.00010691999332969526,0.4839695692062378,0.4820772595703602,0.3749008042430715,0.5453496035293496,0.40668644008101257,0.827488909341367,5.2
9,6.580167528686022e-05,0.4892781712114811,0.4636596664786339,0.4244880089831657,0.5959867774333539,0.471762129999411,0.8090177482378165,5.1
10,3.3169993329695266e-05,0.47158866934478283,0.4602830521762371,0.4490192989929067,0.6197561334137962,0.5062356469129499,0.798906379875097,5.1
11,1.2219163846464854e-05,0.4704245738685131,0.46061910688877106,0.43928600811752017,0.6104221199121831,0.4875111991188148,0.8162023929705079,5.2
12,0.0003,0.45803879760205746,0.44593608751893044,0.43138486362563416,0.6027517470499939,0.470696747343344,0.8377977280469174,5.2
13,0.00029278083615353516,0.4706765692681074,0.4988355450332165,0.26537226321669555,0.4194374587318585,0.2800014514980549,0.8355047563237181,5.2
14,0.00027183000667030475,0.4618220943957567,0.45304783061146736,0.3839053136885867,0.5548144224771363,0.4537119309245361,0.7138944532374806,5.2
15,0.00023919832471313977,0.44543026201426983,0.442290585488081,0.36719833764075555,0.5371544530611336,0.4011602222972714,0.8126419174336511,5.2
16,0.00019808000667030474,0.4258442372083664,0.41846888884902,0.4347448470175559,0.6060239183591035,0.48417986043004196,0.8098139189750385,5.1
17,0.0001525,0.4152960330247879,0.4031617231667042,0.45189424620929575,0.6224892031759641,0.5054006321430476,0.8101897115630073,5.2
18,0.00010691999332969526,0.41349625773727894,0.39549410343170166,0.4596470545559236,0.6298057508097593,0.5163757060073766,0.8070973844196371,5.2
19,6.580167528686022e-05,0.39870678819715977,0.3930467255413532,0.48283742340093083,0.651234472210081,0.547843588144017,0.8027279994137627,5.2
20,3.3169993329695266e-05,0.40853265300393105,0.40013037621974945,0.455934758891858,0.6263120735421954,0.5032024893217172,0.8291704219383799,5.3
21,1.2219163846464854e-05,0.3884228579699993,0.39166294410824776,0.4802601997018814,0.6488861887911381,0.5355082912760246,0.8231672945797259,5.3
22,0.0003,0.4017318971455097,0.4004480913281441,0.4367818814568379,0.6080002637755412,0.5051544002055638,0.7634290118244846,5.3
23,0.00029278083615353516,0.407508360221982,0.4968486949801445,0.2282043412370552,0.3716064722702517,0.25505281899106763,0.6843310414229532,5.3
24,0.00027183000667030475,0.4124324880540371,0.4168088175356388,0.351596541077867,0.5202684830748041,0.3895516026864246,0.7830148119601459,5.3
25,0.00023919832471313977,0.41351763531565666,0.4038097709417343,0.3803477378875334,0.5510897398500653,0.45152832921105107,0.7069773218724958,5.2
26,0.00019808000667030474,0.366720300167799,0.36374520137906075,0.486739972135888,0.6547748513637192,0.5777634350985599,0.7554736738181624,5.2
27,0.0001525,0.366569846868515,0.3579272925853729,0.4805980769078629,0.6491945172744815,0.5566277841518338,0.778690012515556,5.3
28,0.00010691999332969526,0.3700543399900198,0.35332478396594524,0.47732389046261053,0.6462007330202193,0.5397723389713524,0.8049063225508021,5.3
29,6.580167528686022e-05,0.36617958545684814,0.35765453800559044,0.4803704120911269,0.6489867781301709,0.5518195346470025,0.7876867418461646,5.3
