epoch,lr,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,val_macro_dice_present,val_macro_iou_present,val_macro_recall_present,val_micro_dice,val_n_classes_present,val_dice_crack,val_dice_spalling,val_dice_corrosion,val_dice_moisture,val_dice_delamination,val_dice_surface,seconds
0,2.9999999999999997e-05,0.7530720865374085,0.7831877164664816,0.29386069362079,0.45423853598711433,0.39328232703233895,0.5375562700102925,0.400884151001712,0.2559643741417777,0.44062228162267264,0.45423853598711433,6.0,0.24188638761383255,0.4872852745589398,0.48837550138192665,0.2665389293647833,0.4335167157623755,0.48770209732841396,865.6
1,0.000165,0.7282876244275451,0.792483213006473,0.27026990939204915,0.42553146759400173,0.3474696939070365,0.5488305194291166,0.37092067986675087,0.23557011915083237,0.4274410405351352,0.42553146759400173,6.0,0.1829989222285406,0.4288243860178296,0.5436982706702689,0.2042195393691059,0.41774528205988976,0.4480376788548707,869.1
2,0.0003,0.726883596822179,0.8012008127130446,0.25920865878489424,0.41170088368837027,0.36582677597247415,0.470729648123941,0.3438565222604976,0.2185616269861609,0.3707597414669894,0.41170088368837027,6.0,0.23723852735586282,0.4309184498347959,0.5092400675508332,0.027175725557013832,0.41627638368521075,0.4422899795792692,868.6
3,0.00029278083615353516,0.716789762030081,0.8003128972209868,0.2718113198918247,0.42743969272886156,0.3891040542565846,0.47415476966221576,0.34438823222654097,0.21952954197809296,0.37715445318437063,0.42743969272886156,6.0,0.1838505029546203,0.44187202593173086,0.5204767702651951,0.05779545977086415,0.3979460748142101,0.464388559622625,865.7
4,0.00027183000667030475,0.7081242886394069,0.7880598658421001,0.2844810150232193,0.4429509065466052,0.39616018228039174,0.5022749065593662,0.3996763421326925,0.25579048470359667,0.42696871962703214,0.4429509065466052,6.0,0.29671506903432243,0.47676992707334614,0.5321435945417644,0.2042402641453986,0.4240739358999082,0.4641152621014152,874.9
5,0.00023919832471313977,0.6969322820662077,0.7871838979056625,0.2960901032766563,0.45689740632708853,0.41024639169800337,0.5155195146673601,0.4164911216879648,0.2694003506904161,0.41495770599518794,0.45689740632708853,6.0,0.27406276366726523,0.48882100157701563,0.5463121393834427,0.24437563687781605,0.4609437819272799,0.4844314066949695,863.1
6,0.00019808000667030474,0.6921599763455628,0.7656829112865886,0.31162628587281005,0.47517542036059623,0.43026100524052086,0.5305599148185886,0.43258286019311476,0.28195547595233844,0.43187441913012664,0.47517542036059623,6.0,0.31194344396632245,0.4789986560823237,0.5618723283623936,0.2628322289139881,0.45855946634820816,0.5212910374854525,867.3
7,0.0001525,0.6818995390165256,0.7649433378313408,0.32246316096566946,0.48767053855807246,0.42781984825075964,0.5669908232753188,0.44706650781520946,0.2935730445983219,0.4700253619433575,0.48767053855807246,6.0,0.3479209635796862,0.5217887228082504,0.5618187486645402,0.2670541423601459,0.4665872844759737,0.5172291850026606,869.4
8,0.00010691999332969526,0.6746658665461771,0.7526154676910306,0.33984853781275964,0.5072939637901855,0.4482622372128805,0.5842315052893858,0.47233495006475934,0.31434399266637186,0.4908262195944327,0.5072939637901855,6.0,0.35921962876992414,0.5083981014839569,0.5710953330139583,0.31672763720735037,0.5317919843142904,0.5467770155990759,870.3
9,6.580167528686022e-05,0.668382848039667,0.745981440680926,0.3374242672793965,0.5045882231010937,0.4328294455166995,0.6048695178420018,0.47257920052061914,0.3141676165513451,0.5290767364500091,0.5045882231010937,6.0,0.36770849662348126,0.5269048643665708,0.5692680551781989,0.32038318984767683,0.5068862201083868,0.5443243769994002,869.8
