epoch,lr,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,val_macro_dice_present,val_macro_iou_present,val_macro_recall_present,val_micro_dice,val_n_classes_present,val_dice_crack,val_dice_spalling,val_dice_corrosion,val_dice_moisture,val_dice_delamination,val_dice_surface,seconds
0,2.9999999999999997e-05,1.0015385799383894,1.1440247248430722,0.17096076835798044,0.29200084747111726,0.1785197637779093,0.8014910856986299,0.2597293023548452,0.1517544750886712,0.7667972469169956,0.29200084747111726,6.0,0.1686199870917407,0.2846683358950089,0.25496175445889385,0.20527171738868932,0.22774023721759587,0.41711378207714267,1882.3
1,0.000165,0.9616631517499664,1.1636795167063103,0.2087677372436143,0.34542241790746836,0.22426649542119872,0.7512971065820009,0.32721004852027596,0.19734569877003375,0.6926607905618201,0.34542241790746836,6.0,0.30959673488658773,0.35896749580704324,0.35715204520488436,0.21726562217586567,0.29650959373976277,0.42376879930751216,1791.5
2,0.0003,0.9537623297678282,1.102189590207866,0.17305962582894024,0.2950568274935692,0.17758946975768214,0.8715426617742821,0.26383783641173847,0.15445488045167674,0.8031197307487651,0.2950568274935692,6.0,0.17610604061849178,0.2625043829297137,0.27615634581173537,0.18984715030603722,0.2597329359321468,0.41868016287230586,1904.1
3,0.00029278083615353516,0.9418828092381175,1.114668580352283,0.21779387093482114,0.3576859370586829,0.23518004288407957,0.746582911696926,0.35227960336232395,0.21684182094613313,0.7104523111239126,0.3576859370586829,6.0,0.27642450178671973,0.3905492405186384,0.4508300230591817,0.21106938775939887,0.36308852556337096,0.4217159414866341,1816.2
4,0.00027183000667030475,0.9303474705599157,1.152730010572027,0.198564046549739,0.331336564151641,0.21391096116271355,0.7345831973631504,0.31231815347847425,0.18747328628193718,0.7060598706132605,0.331336564151641,6.0,0.21740019298295563,0.3427776948676351,0.3790020155559138,0.20012916060831662,0.332459879067894,0.4021399777881303,1814.6
5,0.00023919832471313977,0.9164043488224032,1.0978615579546476,0.23366762276440403,0.3788177924955205,0.2504037203826068,0.7775855241282048,0.35487753766997354,0.21840517531851564,0.6846398025886075,0.3788177924955205,6.0,0.26565196818394726,0.3654698355758064,0.42442370827415604,0.23351287176224814,0.4032500725250276,0.4369567696986557,1816.9
6,0.00019808000667030474,0.908975359726571,1.0968190209298838,0.22527807741962516,0.3677174701338811,0.24248894799978032,0.7604221273769353,0.3493865173722778,0.21419667521496696,0.7091033754135504,0.3677174701338811,6.0,0.2557395300689186,0.35748744951747585,0.43450723174322414,0.24183527295305493,0.3801881875697867,0.4265614323812067,1817.2
7,0.0001525,0.8909174620202744,1.0703056593898868,0.23277045311352512,0.37763794958847774,0.24846547285354223,0.786550717685496,0.3584905109262,0.22224752274354734,0.7338841660394313,0.37763794958847774,6.0,0.2341987340053742,0.3798016546422491,0.4800163515712112,0.242574973204737,0.37034625630833734,0.4440050958252913,1813.9
8,0.00010691999332969526,0.885864870455425,1.0468984854514483,0.23515841709151403,0.3807745044481868,0.24867449089167645,0.8122610386314733,0.36627019159485935,0.22685354573758573,0.7609016385529705,0.3807745044481868,6.0,0.3065752172584825,0.3639708065671931,0.4368072805414117,0.23224052149383145,0.4042832747472558,0.4537440489609814,1816.9
9,6.580167528686022e-05,0.8743016319388354,1.0701490814080004,0.2509936510490987,0.4012708631072785,0.2706524413003263,0.7755611037631663,0.3861045199169461,0.2420962772981702,0.6982698518530907,0.4012708631072785,6.0,0.30943450551059076,0.4167015897620094,0.4275950111945036,0.2494405786658356,0.4621297224858376,0.45132571188289944,1814.8
10,3.3169993329695266e-05,0.8676590428562068,1.0579313049550916,0.24814956415460843,0.397627930628144,0.2670428462403989,0.7781433089476862,0.3808671164864614,0.23787401573116052,0.7348753462656519,0.397627930628144,6.0,0.3035490866136001,0.4031307118382875,0.43255814700324524,0.2522933528690495,0.4348712657571439,0.458800134837442,1819.4
11,1.2219163846464854e-05,0.8632559113994123,1.0551863950295526,0.25127813255306836,0.40163433854688785,0.2688933415189008,0.7932055798555369,0.386687232689987,0.24310210850076439,0.7345533639631534,0.40163433854688785,6.0,0.2917066908077927,0.4098700912070146,0.4595036210560927,0.2460330774120491,0.4523996733845515,0.46061024227242137,1818.7
12,0.0003,0.8991695718363024,1.1083460413530224,0.23316282128836976,0.37815415330924196,0.25561321795569786,0.7263811675920193,0.3703487168874275,0.23090567877400595,0.6799907122343835,0.37815415330924196,6.0,0.27740606352903,0.3935823145843352,0.4962045741830824,0.23293603430429888,0.3930214166659418,0.4289418980578767,1814.8
13,0.00029278083615353516,0.8998998557051567,1.0877106228812796,0.2397786368309306,0.38680878942041225,0.2593341200886811,0.7607548527698024,0.37082381063996106,0.2318521343019427,0.6949622918439129,0.38680878942041225,6.0,0.2539348798215768,0.38379717665233803,0.4597212248847676,0.2241971602790246,0.44175649567028646,0.4615359265317729,1818.5
14,0.00027183000667030475,0.8911419960175303,1.0366936912302112,0.23418172066267007,0.37949309529058767,0.24635552164467683,0.8257544064646422,0.3635264547724364,0.22534197852653534,0.7665648360921313,0.37949309529058767,6.0,0.27797243312412784,0.4064542942227263,0.45713612488006244,0.22835538635075478,0.3657526035583184,0.4454878864986284,1811.8
