epoch,lr,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,seconds
0,2.9999999999999997e-05,0.4545153710854165,0.4613409786195051,0.2484191602966955,0.3979739629078698,0.3169190546821544,0.5347380430970471,892.5
1,0.000165,0.45643689355234834,0.46907974889532467,0.234054104359297,0.3793255150361734,0.519634020734476,0.29867819491929376,808.4
2,0.0003,0.45667208549180477,0.47354974048059495,0.15942922035185683,0.2750132868024047,0.23952447482216818,0.32284754622281686,809.5
3,0.00029278083615353516,0.44903319842022965,0.4735530800506717,0.1502046653494954,0.26117902295910955,0.32473418911762736,0.21842926436868598,809.4
4,0.00027183000667030475,0.4409575841176742,0.4655655052696095,0.18764032844132889,0.31598847554728954,0.34016573624224455,0.29501994914735385,807.9
5,0.00023919832471313977,0.4347648447571509,0.46272677897674136,0.20191687824553983,0.3359914182090223,0.35611407498138953,0.3180212430069174,807.9
6,0.00019808000667030474,0.4275831475155596,0.4590235629775485,0.23303784970954008,0.3779897750331598,0.37834389861039985,0.37763631374354656,808.2
7,0.0001525,0.4191673341120587,0.4555680892873006,0.3037718715046054,0.4659893009565245,0.4265764595602628,0.5134265123816242,808.1
8,0.00010691999332969526,0.4130092581421158,0.4466739270652904,0.2640520425808851,0.4177866633429988,0.44845895069097275,0.39104143871381686,808.7
9,6.580167528686022e-05,0.40628044981920386,0.44582089677941605,0.31110360925793185,0.4745675430395811,0.48235213538352667,0.4670302281369371,808.8
10,3.3169993329695266e-05,0.40324257824948645,0.44478702117673685,0.3218323462637588,0.4869488134004859,0.4479481967450372,0.5333882714799181,809.4
11,1.2219163846464854e-05,0.3978063948092567,0.4425164903895777,0.31588022832831864,0.4801048325342038,0.47159750123091965,0.4889247365958946,807.3
12,0.0003,0.4222863381533805,0.4603436711992397,0.24456393198352072,0.39301144071200517,0.40015298535463767,0.3861203372421633,807.5
13,0.00029278083615353516,0.42331060025016437,0.4568140172689665,0.27999209638255934,0.4374903519699177,0.4091766018017931,0.4700138508449239,806.6
14,0.00027183000667030475,0.4190916590365731,0.46098969913408405,0.24806580974137957,0.3975203996538981,0.39767984991768024,0.3973610772024551,806.5
15,0.00023919832471313977,0.4136963194707528,0.4523371227207731,0.284916247130029,0.44347831660843884,0.42661852758900876,0.4617255195327974,810.1
16,0.00019808000667030474,0.4081721146306978,0.4508155000502946,0.2681528092092167,0.4229029928600308,0.501860207381902,0.3654129089370229,809.1
17,0.0001525,0.40472257470345446,0.44473716256315593,0.3175927565643852,0.48208030134061497,0.4430202743374132,0.5286939711567318,808.4
18,0.00010691999332969526,0.39784422190222024,0.44230024345585556,0.3275257462723802,0.4934378820027477,0.4974101829579167,0.48952852371264344,808.4
19,6.580167528686022e-05,0.39273277800463047,0.4447390720492504,0.3074438121289784,0.47029755202764967,0.5477902133548482,0.41201255751084986,810.0
20,3.3169993329695266e-05,0.3896680549829231,0.44231014936918117,0.3006086394213821,0.4622584078099275,0.472329803620316,0.4526075458360554,809.3
21,1.2219163846464854e-05,0.3875820877864452,0.4382209124379471,0.35006995903697613,0.5185952871459876,0.5211746326858041,0.5160413467532016,806.9
22,0.0003,0.4097691174217842,0.45130501766918135,0.2596885799905075,0.4123060002535935,0.5103871314065376,0.34584495146213334,808.4
23,0.00029278083615353516,0.4091638901612702,0.4536791527491124,0.22570962528794622,0.36829216419822447,0.4715961411917028,0.30211363326085816,808.7
24,0.00027183000667030475,0.40691885558301455,0.45196977550866174,0.25297814228854004,0.40380296152090955,0.43955765405525093,0.37342746036418323,807.4
25,0.00023919832471313977,0.4037225112308249,0.445337855730389,0.27920665704827946,0.4365309631714053,0.46216599646735523,0.41359028635273576,807.5
26,0.00019808000667030474,0.3986909327871437,0.4456039915685771,0.3506967806391732,0.5192827667409075,0.5699876488246213,0.47686213149148154,807.2
27,0.0001525,0.39362093797672026,0.4411705955252296,0.3514021634430812,0.5200556473104708,0.5099189872446016,0.530603493893757,807.3
28,0.00010691999332969526,0.3884802069566021,0.44260884680953183,0.32483768762708715,0.4903811095665658,0.6027712581630907,0.41331598097854694,808.6
29,6.580167528686022e-05,0.38320081499019115,0.4442116152189794,0.29720889141488566,0.4582282674469111,0.545887762861209,0.39482643248624405,807.9
