epoch,lr,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,seconds
0,2.9999999999999997e-05,0.9117434751242399,0.9039680063724518,0.0,0.0,0.0,0.0,69.8
1,0.000165,0.8619279786944389,0.8129937946796417,0.0,0.0,0.0,0.0,4.0
2,0.0003,0.7467000130563974,0.703310638666153,0.0,0.0,0.0,0.0,3.9
3,0.00029278083615353516,0.6389255542308092,0.6528550088405609,0.0,0.0,0.0,0.0,3.9
4,0.00027183000667030475,0.613703602924943,0.6030644774436951,0.0,0.0,0.0,0.0,4.1
5,0.00023919832471313977,0.561429769732058,0.6049917489290237,0.0,0.0,0.0,0.0,3.8
6,0.00019808000667030474,0.5531905936077237,0.5768137276172638,0.0,0.0,0.0,0.0,3.8
7,0.0001525,0.5373175321146846,0.5906087011098862,0.0,0.0,0.0,0.0,3.9
8,0.00010691999332969526,0.5231331754475832,0.5919983237981796,0.0,0.0,0.0,0.0,3.9
9,6.580167528686022e-05,0.5028524911031127,0.5694591701030731,0.0,0.0,0.0,0.0,4.0
10,3.3169993329695266e-05,0.5031890217214823,0.5726570039987564,0.0,0.0,0.0,0.0,3.9
