epoch,lr,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,seconds
0,0.00029278083615353516,0.6002692977816576,0.5974114393113089,6.740613579105732e-05,0.00013480318502032013,0.02030694366451288,6.762605285895267e-05,883.0
1,0.00027183000667030475,0.5959109121376263,0.5965762517002763,0.0,0.0,0.0,0.0,785.9
2,0.00023919832471313977,0.5935223798401165,0.5945308577330386,0.0,0.0,0.0,0.0,787.4
3,0.00019808000667030474,0.5936825133349798,0.5967993369845094,0.0,0.0,0.0,0.0,789.0
4,0.0001525,0.5943416926786894,0.5985387629661404,0.008143437434848438,0.016155315072166426,0.06093269996441012,0.00931213864275744,791.1
5,0.00010691999332969526,0.5908973287530486,0.5907981990546477,0.02519755239914687,0.04915648177305937,0.18426612753815583,0.028361182334017722,795.4
6,6.580167528686022e-05,0.5886307526683326,0.5890748326162822,0.05371986223704272,0.10196232255316072,0.19347066975238708,0.06922165373746804,791.9
7,3.3169993329695266e-05,0.5861646292058358,0.5814966194209505,0.054862806316750015,0.10401884678883262,0.23211260157774777,0.06702848163150085,794.1
8,1.2219163846464854e-05,0.5834791430828807,0.5794911754668736,0.07083059631739846,0.13229094603943123,0.23846004902765697,0.0915363813361429,797.4
9,0.0003,0.583201218261595,0.5779468346326078,0.07425546432129228,0.13824544866189048,0.2431685070213779,0.09657498973532977,794.1
10,0.00029278083615353516,0.5854287977947463,0.5797191859513032,0.03569205071965716,0.06892406038041195,0.30348002724659373,0.03887672191278828,792.5
11,0.00027183000667030475,0.5846212315963341,0.5787610173469684,0.08630751803482602,0.15890071016163046,0.2496554233477512,0.11653714096058419,792.9
12,0.00023919832471313977,0.580933477789185,0.5682689775941802,0.10063303869083584,0.18286392494729267,0.28666711251697186,0.13425111547927418,794.3
13,0.00019808000667030474,0.5786864240949929,0.5729517032865619,0.10610136117124053,0.19184744707101847,0.27293181499278074,0.147906436083639,795.3
14,0.0001525,0.5732597243854616,0.5627746935017773,0.12295785763666472,0.21898926446881498,0.3005688194284424,0.1722402844033883,794.3
15,0.00010691999332969526,0.5707926850011217,0.5557390743347465,0.13729046024716515,0.24143429501260055,0.36285824840221703,0.18089953557730007,792.7
16,6.580167528686022e-05,0.5680423132489719,0.5489566063538927,0.156669900082086,0.27089820539285675,0.3706899934482631,0.21343919771192996,870.2
17,3.3169993329695266e-05,0.5648487870007345,0.54813479961919,0.14719458948798267,0.25661660338492137,0.4183422528077353,0.18507069181919247,813.4
18,1.2219163846464854e-05,0.5593401252922603,0.5485884138062352,0.14076868756392674,0.246796198210057,0.4381880220659786,0.17177033008213805,815.0
19,0.0003,0.5576763926131655,0.5453971852166731,0.15381298069212332,0.2666168317847446,0.42338727177541075,0.19457152896428218,816.2
20,0.00029278083615353516,0.570020242771315,0.5554604364223168,0.13382461701434287,0.23605876077508026,0.3464637146278624,0.17901379711716403,814.7
21,0.00027183000667030475,0.5692407586330464,0.551325518332544,0.1412119479377099,0.2474771635416098,0.4801328798090063,0.16670009014209783,814.8
22,0.00023919832471313977,0.566442742657988,0.5553077471549394,0.14572741432705752,0.25438409259439854,0.383339133414512,0.19035035437453787,814.4
23,0.00019808000667030474,0.5628198072346493,0.547645165417038,0.1656186717954697,0.28417299036632226,0.4263630054862393,0.21310387221480445,814.0
24,0.0001525,0.5585976958618631,0.5423499331122539,0.17342131887570159,0.29558235577629177,0.41576604422664337,0.22929968859293046,813.3
25,0.00010691999332969526,0.5552546531069424,0.5484852971600704,0.14307746908659832,0.2503373095104876,0.5310857395805378,0.16376568040145312,813.0
26,6.580167528686022e-05,0.5514975375508608,0.5447787216818724,0.15144857445472434,0.26305747006798585,0.5237202274614037,0.17563935057174127,815.0
27,3.3169993329695266e-05,0.5492878569745295,0.5413616986059752,0.17150471420237878,0.29279389510463577,0.37235266290346936,0.24124768509320413,814.8
28,1.2219163846464854e-05,0.5464098715232101,0.5435157575812496,0.16651717522079074,0.2854945966642513,0.5082147258280447,0.1985027217928041,813.7
29,0.0003,0.5436318546254255,0.5351463912940416,0.1865331932974181,0.3144171513298093,0.5016978470718497,0.2289511183619501,813.8
