epoch,lr,train_loss,train_loss_crack,train_loss_multilabel,val_loss,val_loss_crack,val_loss_multilabel,val_joint_score,val_crack_dice,val_crack_iou,val_crack_precision,val_crack_recall,val_macro_dice_present,val_macro_iou_present,val_macro_recall_present,val_micro_dice,val_n_classes_present,val_dice_crack,val_dice_spalling,val_dice_corrosion,val_dice_moisture,val_dice_delamination,val_dice_surface,seconds
0,2.9999999999999997e-05,1.625721660911736,0.6323950058879316,0.9933266559606331,1.6766854294987976,0.6127612296430791,1.0639241955807952,0.3344066282089375,0.3619334115196943,0.2209515865014213,0.30823422531513217,0.4382904023951399,0.30687984489818076,0.1844646791770067,0.80243777952485,0.32978580574311844,6.0,0.23432061340335913,0.31190934161914,0.39503631256740396,0.20680928365777176,0.24828395007187856,0.44491956806953115,1316.6
1,0.000165,1.6054992807968624,0.6255345193791406,0.9799647619334072,1.7883659400900855,0.6488245598605422,1.1395413809623876,0.2960089046677699,0.26430742775781213,0.1522777892725419,0.4414752066433685,0.1886147245118971,0.3277103815777277,0.1992488133679187,0.6717984167438505,0.35247962867712274,6.0,0.23627052181224056,0.38802465221609717,0.41306799364770447,0.20915248147640808,0.28643624138779344,0.4333103989261225,1314.0
2,0.0003,1.598946014598882,0.6212520897689274,0.9776939245807067,1.7766425868526834,0.6614746087398685,1.1151679800670655,0.2548426370662108,0.21752951291287057,0.12203821296831235,0.32411005203256094,0.16369872757188653,0.29215576121955106,0.17369681739846898,0.7298945270820282,0.324774866375477,6.0,0.207324871640127,0.31362529861827426,0.34286233082312306,0.21637795976164123,0.2408330137668212,0.43191109270731937,1313.4
3,0.00029278083615353516,1.5892216466361873,0.6191643795738482,0.9700572662931083,1.7351831852412614,0.646397801329855,1.088785383300703,0.2666879610537779,0.2558507124295025,0.14669083332074645,0.42851213082782963,0.1823685258576455,0.27752520967805333,0.16442903284050073,0.8008882639431403,0.3004269943502089,6.0,0.19853969955574996,0.26164494304253993,0.36836085366603555,0.1907725495469753,0.21699406470616278,0.4288391475508565,1311.0
4,0.00027183000667030475,1.5691316002981217,0.6119020405009915,0.9572295604030606,1.7176622650662408,0.6198588933368199,1.0978033755157814,0.3255055643994942,0.3376397053552092,0.20310861998021632,0.3115148749052979,0.3685475111001301,0.31337142344377916,0.1883988808131846,0.7266768082232304,0.3420183550819602,6.0,0.19933397340715847,0.3179768109142268,0.38460953610524334,0.2307584374377478,0.32251593743462814,0.4250338453636703,1311.4
5,0.00023919832471313977,1.5392258858972947,0.6009734735182918,0.938252411768775,1.696287363767624,0.6315368032846295,1.064750558773025,0.297282337445491,0.2941813276273945,0.17245756093068249,0.49426489768032433,0.20940998728476115,0.30038334726358745,0.17919656213912294,0.7814479300819771,0.3309775857463375,6.0,0.2193344657169326,0.308222592301884,0.3530724128062577,0.2231772799620223,0.2626163646497355,0.4358769681446927,1311.1
6,0.00019808000667030474,1.5208685416494587,0.5934018994202782,0.9274666405789871,1.6636636477024829,0.6164021377192169,1.047261515846018,0.30726672382004167,0.3190927886228583,0.18983367223550096,0.41018596482993125,0.2611067819434294,0.29544065901722505,0.17602179574600826,0.8338222545316475,0.3262957400192254,6.0,0.1900665562810363,0.3154776519471235,0.3456934935043879,0.21908837361444505,0.26990920094359205,0.43240867781276554,1310.4
7,0.0001525,1.4949463110650798,0.5829606600820202,0.9119856505919981,1.664991945028305,0.6125438271975908,1.0524481197849649,0.3401787470882155,0.33709941779691394,0.20271772191594845,0.4589108527534312,0.2663899501669061,0.343258076379517,0.20900047098769994,0.7511236153528033,0.3615088688962934,6.0,0.30172496387042763,0.32674198175759045,0.40283115468149416,0.2397854820664656,0.35351250130915046,0.4349523745919737,1311.9
8,0.00010691999332969526,1.4747024097284482,0.5770125363142953,0.8976898743853606,1.6416964486974184,0.6022262810195078,1.0394701681664733,0.3593964376622436,0.3750612839638231,0.23081564877642619,0.4106629727045704,0.34513999230890835,0.34373159136066417,0.20960356633975974,0.7816565567485486,0.3646265612606386,6.0,0.28505161631144194,0.34362480918112,0.41982832290084476,0.24727445213690774,0.327037257258745,0.43957309037492565,1311.8
9,6.580167528686022e-05,1.4539691037897937,0.5671272557247604,0.8868418472657207,1.6376460355813387,0.5941672071081693,1.0434788299388573,0.37272359774665853,0.3849643897681524,0.2383627873771084,0.4091301524993038,0.36349417097291203,0.3604828057251646,0.2234481085234327,0.7571802286419228,0.3776228371548688,6.0,0.2647526053284911,0.3797937318344645,0.48994818228323916,0.25133105445397597,0.3297714060362065,0.44729985441461056,1313.0
10,3.3169993329695266e-05,1.4442336139183898,0.5630739477184409,0.8811596658475638,1.6206932903313247,0.600199998280064,1.0204932973033092,0.3727783280648642,0.3938372381581453,0.24520381589877946,0.5248816074544045,0.31515434662900543,0.35171941797158307,0.21580816840056186,0.7807857859222729,0.3752827620492071,6.0,0.27945448366015097,0.3550019143079881,0.42518170644283093,0.2476437616988473,0.34677005012451834,0.45626459159516297,1391.9
11,1.2219163846464854e-05,1.432189461509358,0.5586818962107482,0.8735075658057005,1.657057469985524,0.610216500573471,1.046840964037864,0.36274122714208734,0.3444634864086907,0.2080675862965146,0.5307147019752543,0.25497981432301503,0.381018967875484,0.2380059319530634,0.7127628523754909,0.4007150396999773,6.0,0.3026084795457111,0.40348370160880137,0.4655476505433199,0.26174903788418585,0.39261475107091687,0.46011018659996866,2129.4
12,0.0003,1.5043889403944835,0.5900666889133604,0.914322252151514,1.71169201467858,0.6149755527005821,1.0967164650315144,0.3366088248968318,0.35318520037573986,0.214465646323025,0.4231754534993808,0.30306103066594364,0.32003244941792375,0.1922406647868923,0.7302398590142892,0.3432861997191923,6.0,0.29904246017427566,0.31302956273798,0.3220519398948781,0.2279559874395792,0.3154447998314631,0.4426699464293663,2105.0
13,0.00029278083615353516,1.5017346398643048,0.5863685161455466,0.9153661237230555,1.6735007963219628,0.6039450086775373,1.0695557860565967,0.3645875379903215,0.39021039673485824,0.2423983829584892,0.4786135361308711,0.329372990032007,0.3389646792457847,0.2059560112909725,0.7469681174737839,0.36163198214489817,6.0,0.3001102995618743,0.3439189512238924,0.3559008351629374,0.23197564815017577,0.35174910368286894,0.45013323769295943,2129.0
14,0.00027183000667030475,1.4929168490256521,0.5821221796488195,0.9107946697979757,1.706431784102174,0.6235532567637866,1.0828785258726996,0.35843040880110516,0.3402148871380867,0.2049752612562389,0.43155623633232293,0.28078511031885284,0.37664593046412365,0.23448038406521268,0.6945433531546512,0.4004293432894501,6.0,0.2923300579703007,0.37755412510350433,0.46300565881472827,0.2756556206774647,0.3924484151535904,0.4588817050651534,2119.4
15,0.00023919832471313977,1.4787610218519776,0.5812424315208141,0.897518589871344,1.6570664282704963,0.6025264376743895,1.05453999120681,0.36858075962861,0.3937136688012241,0.24510802411385427,0.40472034549743685,0.3832898117218581,0.34344785045599585,0.20942481817170133,0.7839036174866717,0.3688140423446045,6.0,0.2619005756807306,0.3464363404203254,0.38955792661486544,0.2500981346867041,0.36631494908796475,0.4463791762453848,2180.9
16,0.00019808000667030474,1.4692466344434578,0.5797739580026529,0.8894726769994641,1.6343967489531783,0.5947424078085384,1.0396543387018267,0.402736351358199,0.4267226368758788,0.2712316638361326,0.4783558703124049,0.38514995289688403,0.37875006584051923,0.23548836304365883,0.7569472851493759,0.38867508126013817,6.0,0.39044796695677003,0.37082321599278995,0.4376796592476588,0.25860875619028456,0.35874886363647096,0.4561919330191412,2153.1
17,0.0001525,1.4455728713264548,0.5681861722048187,0.8773866993622893,1.5994740074775258,0.588506682730112,1.0109673254802578,0.38272883202640495,0.4133238203940739,0.2604966443100752,0.4053489806424052,0.4216187517798943,0.352133843658736,0.21586118426160475,0.8224474867356076,0.3680691768424964,6.0,0.3185532218126737,0.39132394884292765,0.3984673540309844,0.22810182141577365,0.32983436853547304,0.44652234731458373,2167.9
18,0.00010691999332969526,1.4311519056580095,0.5638909925981314,0.8672609130512834,1.6478557982405677,0.6079317185966695,1.0399240770789444,0.3688769674041673,0.3524728896189089,0.21394057032383404,0.512223460662777,0.2686783637335887,0.3852810451894258,0.24055788279023646,0.7217386782293883,0.40843647829131186,6.0,0.35840266178025265,0.41401630561809716,0.40669943880546644,0.26715356690427544,0.38489830340958575,0.4805159946188777,2042.2
19,6.580167528686022e-05,1.4065794461565904,0.5549305778832081,0.8516488687632835,1.609594429614114,0.5961406958884881,1.0134537325042192,0.4031731689596903,0.3953946395404403,0.24641238854343542,0.5850304700572727,0.29860329751925035,0.4109516983789403,0.2611176015374344,0.753298183986696,0.4108491969232134,6.0,0.4371207869583358,0.4293774782959181,0.4471526488411825,0.25165984517310797,0.42362197121174117,0.4767774597933565,1309.3
20,3.3169993329695266e-05,1.399351521954746,0.5530783068600884,0.8462732163194108,1.624805810510135,0.6066453919181081,1.018160416210284,0.4016434699209086,0.38368827750137674,0.23738507378282261,0.5687782682369945,0.28948500142117517,0.4195986623404404,0.26773139431523746,0.7304577067568504,0.4294623251756302,6.0,0.40790798413275947,0.4154521207273576,0.4662229132844995,0.28078924483812,0.46273909023248166,0.4844806208274243,1310.3
21,1.2219163846464854e-05,1.3935023236120014,0.5526629894305753,0.8408393344177818,1.6104510064984932,0.5858308018231001,1.024620198812641,0.42710557761438217,0.42215709476433533,0.26755331177997244,0.5506694521461484,0.34227803635531917,0.432054060464429,0.2785417809878011,0.747582940365124,0.43035866772201714,6.0,0.4266948158888991,0.4486705868560292,0.4885758991921833,0.2634300028722798,0.4820773420475261,0.48287571592965667,1309.6
22,0.0003,1.4517182367348207,0.5699483406010857,0.881769895974732,1.629949048405788,0.6038631586754908,1.0260858865546398,0.36235363143276056,0.3931409203976123,0.24466421815589068,0.34454357505704697,0.45769861080769764,0.33156634246790884,0.201298365086388,0.805987638385154,0.3577599733073025,6.0,0.2642112770799485,0.31977181502159857,0.3778940215365043,0.2267103867196064,0.33796688908189293,0.4628436653679022,1310.6
23,0.00029278083615353516,1.460546093358354,0.5719374670213989,0.8886086267881799,1.7375004589557648,0.6237960559178571,1.113704404381455,0.3664231055652545,0.3467436561017201,0.2097337520472592,0.5904718508683205,0.24543557563509377,0.3861025550287889,0.2425361397450904,0.6555226869982637,0.41230183697596345,6.0,0.29008140093679935,0.4001543292045042,0.4780862390992341,0.2575664883128587,0.4227100349552219,0.46801683766411517,1309.4
24,0.00027183000667030475,1.4582577750763621,0.5745607599949097,0.8836970150857498,1.68992068435325,0.6119244973190495,1.0779961914312644,0.36974784426298946,0.3546664478012286,0.21555899551629737,0.46740316356959866,0.28574525837364645,0.3848292407247503,0.2409396329789708,0.6886661392079239,0.3987199431901752,6.0,0.34942589190317275,0.38468114386774277,0.47082791934157886,0.2405325386804378,0.40836450659490875,0.45514344396066075,1310.2
