epoch,lr,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,seconds
0,1e-05,0.40364662368087734,0.3407191217465456,0.49598400785087216,0.663087312762657,0.695874159927616,0.633251021031716,178.7
1,5.5e-05,0.3349988575508532,0.30032495045384694,0.5565942026480135,0.7151436150811284,0.7361458614790997,0.6953065154996668,177.5
2,0.0001,0.31463014372576786,0.2933517037782558,0.5694396889842943,0.7256598555282144,0.737537769058252,0.714158461553621,177.7
3,9.757729755661011e-05,0.3097263199094678,0.2912418980931127,0.5665323728478637,0.7232948168417883,0.7253377016923286,0.7212634070803231,177.7
4,9.05463412215599e-05,0.30227571350990906,0.286028815433383,0.5751893634480986,0.730311385786666,0.74419714637444,0.7169343145396715,177.7
5,7.959536998847742e-05,0.2943831298886316,0.2803735088037197,0.5807213781240779,0.7347548861688066,0.7625393622785218,0.7089239816842723,177.9
6,6.57963412215599e-05,0.2926553604419758,0.2795926535198855,0.5730986928858537,0.7286239515392422,0.7887996158849234,0.6769788314008288,177.8
7,5.05e-05,0.2881804665180851,0.2793732988539823,0.5757504442884159,0.7307634865347169,0.7807216885221253,0.6868143910017385,177.9
8,3.5203658778440106e-05,0.28761516970939255,0.27399841999245245,0.5878121362518272,0.7404051434439977,0.7660721600394252,0.7164023005066386,177.9
9,2.1404630011522586e-05,0.285332735967398,0.27562826417039993,0.5868400962662924,0.7396335618782008,0.7601081726927195,0.7202330451812102,177.9
10,1.0453658778440109e-05,0.28603029311559025,0.27302425579969275,0.587397950108884,0.7400764881529459,0.7650897364656319,0.7166469893088838,177.9
11,3.4227024433899e-06,0.2824640850560942,0.27258979906003145,0.5891789557275262,0.7414884945513265,0.7677470787427534,0.7169667071509668,177.9
12,0.0001,0.2897961244880037,0.2769739367067814,0.590530558181268,0.7425579535630237,0.7485634871172943,0.7366480147980482,177.8
13,9.757729755661011e-05,0.28878221774331936,0.28011307874044705,0.5812332999195944,0.7351645072857372,0.760771332044498,0.7112253521298296,177.9
14,9.05463412215599e-05,0.28754103303271883,0.2775267595641835,0.582735004842487,0.7363645879563782,0.7662217681201764,0.7087470128198288,177.9
15,7.959536998847742e-05,0.2833365209856432,0.2717013015563405,0.5821959938113841,0.735934101828839,0.7794706465744174,0.6970036668435947,177.8
16,6.57963412215599e-05,0.2801126938094658,0.27567139566811016,0.5812359621496124,0.7351666368116885,0.7930406710070079,0.6851650810529543,177.9
17,5.05e-05,0.27880841949384905,0.26763183853134165,0.5892755606711364,0.7415649938293782,0.7713595477306926,0.7139865315398234,177.9
18,3.5203658778440106e-05,0.27987982771741915,0.2709702121223821,0.5957843219607037,0.7466978009016623,0.7623529550229845,0.7316726758190611,177.9
19,2.1404630011522586e-05,0.2761844369895598,0.2699100415460592,0.5960720694103123,0.7469237521718405,0.7615737573151447,0.732826738732932,177.9
20,1.0453658778440109e-05,0.2773028193657913,0.26984047716440157,0.5957426082289186,0.7466650387810612,0.7802255313391279,0.7158726120969807,177.8
21,3.4227024433899e-06,0.27613186554404234,0.2703042828672847,0.594454349755581,0.7456523917999996,0.7733491421983448,0.7198709123985254,177.9
22,0.0001,0.28168498775857814,0.2748731810512931,0.5889839468191264,0.741334043050808,0.7696350387237222,0.7150405926485677,177.9
23,9.757729755661011e-05,0.2822099235862233,0.2671817668908557,0.5942423963842257,0.7454856271944337,0.7610814686873852,0.7305161211658597,177.8
24,9.05463412215599e-05,0.2817769530188576,0.2703759409054074,0.5920854106104199,0.7437859886969368,0.7766780828894146,0.7135666457766584,177.8
25,7.959536998847742e-05,0.2783979025579868,0.274779089834801,0.5823614074977389,0.7360662421850315,0.7911117037985663,0.6881825773820686,177.8
26,6.57963412215599e-05,0.277054314798072,0.2668569631181484,0.5976446791723079,0.74815719285208,0.7721670553915371,0.7255954343361861,177.9
27,5.05e-05,0.27527634287892505,0.2665485598493454,0.5997609377759036,0.7498132047276165,0.7778754247554206,0.7237052008801448,177.9
28,3.5203658778440106e-05,0.2735520623038324,0.2667983335897673,0.5958223523404105,0.7467276686112159,0.7680982684751533,0.7265140555693268,177.9
29,2.1404630011522586e-05,0.27199727722377365,0.26389307078233987,0.5915011781512135,0.7433248385506545,0.7837095897424359,0.7068981976086572,178.0
